of how natural resources  (water, fuel) are used to raise the animals and transport the food.	Because as preposition
of the amount of green house gases that are being produced from the livestock.	Because as preposition
of the gas that the animals are producing harms the Oxygen base.	Because as preposition
of the green house gases that are produced in transporting meat across the country.	Because as preposition
of the greenhouse gases that are created to raise livestock.	Because as preposition
of the greenhouse gases that are produced transporting the meat.	Because as preposition
of the way animals are raised.	Because as preposition
one fifth of greenhouse gases are produced by  raising and transporting livestock	Meat industry produces greenhouse gases and/or uses water - specific numbers
one fifth of the green house gases are from transporting the livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one-fifth of the Earth's green house gas's are being created to transport these meats.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one-fifth of the earth's greenhouse gases are caused by transporting meat.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one-fifth of the earth's greenhouse gases are produced by everything that goes into raising and transporting livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one-fifth of the earth's greenhouse gases are produced by the meat industry.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one-fifth of the earth’s greenhouse gases are being used.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one-fifth of the earth’s greenhouse gases are produced by raising and transporting meat	Meat industry produces greenhouse gases and/or uses water - specific numbers
people are killing all animals; and, normal nature is non-existent in the natural environment today.	Outside of article's scope
the green house gases that are produced from raising animals for meat and then the transportation involved harms the environment.	Meat industry produces greenhouse gases and/or uses water - general
the lesser those animals are, the more risk of having inbalance in the environment	Outside of article's scope
the massive amount of farm animals are polluting the planet	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
the resources that are involved in the entire process, from "farm to fork" contribute to large amounts of carbon buildup in our atmosphere.	Meat industry produces greenhouse gases and/or uses water - general
the transportation and raising of meat products and animals are contributing about 1/5 of the total greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the way they are transported causes more amounts of greenhouse gases to be released into the environment that many other more prevalent things.	Meat industry produces greenhouse gases and/or uses water - general
there are chemicals created from raising animals.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
there are more efficient ways to get calories.	Outside of article's scope
they are causing green house effects.	Meat industry produces greenhouse gases and/or uses water - general
they are causing greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
they are creating a lot of greenhouse gases and hurt the Earth.	Meat industry produces greenhouse gases and/or uses water - general
they are creating an excess of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
they are creating greenhouse admissions.	Meat industry produces greenhouse gases and/or uses water - general
they are creating more greenhouse gases than all of our transportation methods combined.	Meat industry produces greenhouse gases and/or uses water - specific numbers
they are creating one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
they are creating one-fifth of the eath's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
they are emitting a ton of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
they are leading to green house gas pollution.	Meat industry produces greenhouse gases and/or uses water - general
they are made in ways that create alot of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
they are putting out more  green house gasses that is coming from all the gasses from shipping these animals for people to eat.	Meat industry produces greenhouse gases and/or uses water - general
they are responsible for almost one-fifth of the earth's greenhouse gases and almost half of the water used in the U.S.	Meat industry produces greenhouse gases and/or uses water - specific numbers
they are the number one contributor to greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
too many of earth's resources vital to survival are strictly allocated to raising/distributing meat products.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
we are raising more animal to compensate for demand	Outside of article's scope
we are using greenhouse gases to transport the animals.	Meat industry produces greenhouse gases and/or uses water - general
we are using too many resources that produce green house gases.	Meat industry produces greenhouse gases and/or uses water - general
of greenhouse gases associated with raising meat.	Because as preposition
of the amount of greenhouse gasses  associated with production and transportation of meat.	Because as preposition
of the green house gasses associated with transporting them.	Because as preposition
of the greenhouse gasses associated with raising the animals and transporting them.	Because as preposition
of the large amounts of greenhouse gases associated with raising livestock.	Because as preposition
a large amount of water is used raising livestock.	Meat industry produces greenhouse gases and/or uses water - general
Half of the US water consumption is used for raising livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
half of the water in the US is used to take care of livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
half the water in the US is used to raise livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is a large contributor to greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is a strain on resources, specifically water, as well as hurting the environment by creating greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is associated with one-fifth of the Earth's greenhouse gases and almost half of the water used in the U.S. goes to livestock.	Plagiarism
it is causing a high-demand of animal livestock that is not sustainable for the environment.	Outside of article's scope
it is causing a very excessive amount of greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - general
it is causing more sources of transportation to take the animals and crates which is causing greater amount of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is contributing almost 20% of greenhouse gases to the Earth's atmosphere.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is contributing to greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is creating  almost 1/5 of the earths greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is creating a lot of greenhouse gas and using up water.	Meat industry produces greenhouse gases and/or uses water - general
it is creating a lot of greenhouse gases due to raising the livestock and transporting the meat.	Meat industry produces greenhouse gases and/or uses water - general
it is creating green house gassses.	Meat industry produces greenhouse gases and/or uses water - general
it is creating greenhouse gases and uses up a lot of water.	Meat industry produces greenhouse gases and/or uses water - general
it is creating huge amounts of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is creating large amounts of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is emitting greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
it is expanding the green house effect when the meat producing animals are transported.	Meat industry produces greenhouse gases and/or uses water - general
it is hurting the earth by contributing to one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is increasing almost one-fifth of the earth’s greenhouse gases and almost half of the water used in the U.S. goes to raising livestock	Plagiarism
it is killing more animals	Outside of article's scope
it is producing  one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is producing more greenhouse gas than cars, trucks, and trains combined.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is producing most of the green house gases that are harming the earth	Meat industry produces greenhouse gases and/or uses water - general
it is releasing more green house gases.	Meat industry produces greenhouse gases and/or uses water - general
it is responsible for 1/5 of the earths greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is responsible for one fifths of the greenhouse gas emissions.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is responsible for over twenty percent of the greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it is taking animals from the environment with are a part of nature.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
it is terrible for the environment and causes green house gases.	Meat industry produces greenhouse gases and/or uses water - general
meat industry is responsible for contributing to significant amount of earth’s greenhouse gases and uses up large amount of water resources.	Meat industry produces greenhouse gases and/or uses water - general
meat is being made domestically	Irrelevant fact from article
of green house effect is increasing!	Because as preposition
of the amount of green house gas that is produce in 9 rider to transport the meat across region	Because as preposition
of the thought that greenhouse gas is emitted from raising meat and a large amount of water is consumed.	Because as preposition
of what is required to produce enough for everyone.	Because as preposition
one fifth of the earth's greenhouse gases is created by raising livestock and transporting meat.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one fifth of the greenhouse gasses is created by raising and transporting livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one half of the water is used to raise them and 20 Percent of greenhouse gases produced comes from the raising and transportation of meat products.	Meat industry produces greenhouse gases and/or uses water - specific numbers
one half of US water supply is used to raise animals for producing meat.	Meat industry produces greenhouse gases and/or uses water - specific numbers
production and transportation of meat is water-intensive and produces large amounts of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
the greehouse gas that is produced by transporting animals arcoss the US.	Meat industry produces greenhouse gases and/or uses water - general
the meat industry is responsible for 1/5 of the world's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the meat industry is responsible for significant greenhouse gas emission and water consumption.	Meat industry produces greenhouse gases and/or uses water - general
the meat that is consumed uses much of our resources just to become food for us.	Meat industry produces greenhouse gases and/or uses water - general
the raising of the animals and transportation of the meats is creating 1/5 of the greenhouse gases on earth.	Meat industry produces greenhouse gases and/or uses water - specific numbers
there is a large amount of greenhouse gases produced.	Meat industry produces greenhouse gases and/or uses water - general
There is so much greenhouse gasses in raising and transporting livestock.	Meat industry produces greenhouse gases and/or uses water - general
there is so much water used to produce meat.	Meat industry produces greenhouse gases and/or uses water - general
this process is responsible for almost one-fifth of the earth's greenhouse gases which is harmful for the environment.	Meat industry produces greenhouse gases and/or uses water - specific numbers
when land is used to raise animals instead of crops, precious water and soil are lost, trees are cut down to make land for grazing or factory-farm sheds, and untreated animal waste pollutes rivers and streams.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
the raising of the animals that become that meat causes 20% of the Earth's greenhouse gases to be created.	Meat industry produces greenhouse gases and/or uses water - specific numbers
it as been through the meat	Insufficient or unintelligible response
of gases being relased	Because as preposition
of its greenhouse gas emissions when being produced and transported.	Because as preposition
of the amount of greenhouse gasses being released.	Because as preposition
of the enormous amount of greenhouse gases being created from the livestock.	Because as preposition
the animals being raised produce greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
breeding animals for meat and the associated transportation is the cause of about one-fifth of the world's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
of greenhouse gases caused through the raising and transport of meat.	Because as preposition
1/5 of the world's greenhouse gases come from raising livestock for consumption.	Meat industry produces greenhouse gases and/or uses water - specific numbers
almost one third of the earths greenhouse gases come from raising animals and transporting them	Meat industry produces greenhouse gases and/or uses water - incorrect numbers or comparison
of the gasses that come out of the cows into the environment.	Because as preposition
of the greenhouse gas emissions that come from the meat industry.	Because as preposition
one fifth of the earth's greenhouse gases comes from raising animals.	Meat industry produces greenhouse gases and/or uses water - specific numbers
of the greenhouse gases coming from raising and transportation of these animals.	Because as preposition
a significant portions of our resources, such as half of the water consumed in the US, are used just to raise the animals, and the raising and transportation of these animals contributes 20% of the greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the raising and transportation of the consumed animals creates nearly 20% of the Earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
of what it costs in fuel to transport the meat to its destination.	Because as preposition
of all of the pollution created during the production and transportation processes of meat.	Because as preposition
of large amounts of greenhouse gas created in production.	Because as preposition
of the greenhouse gas created from raising and transporting the meat.	Because as preposition
of the greenhouse gas emissions created from raising animals and transporting them	Because as preposition
of the large amount of greenhouse gases created by raising the meat.	Because as preposition
of the large amount of greenhouse gases created.	Because as preposition
a lot of the greenhouse gases emitted are caused by transportation of livestock.	Meat industry produces greenhouse gases and/or uses water - general
of green house gases emitted due to transportation and raising costs.	Because as preposition
of the greenhouse gases emitted, and the huge consumption of water.	Because as preposition
of the greenhouse gasses emitted during the whole process of raising livestock.	Because as preposition
the production of meat equals one half of US water usage and produces large quantities of greenhouse gasses	Meat industry produces greenhouse gases and/or uses water - general
exporting and greenhouse gases increase as a result.	Meat industry produces greenhouse gases and/or uses water - general
feeding the livestock uses a lot of water and transporting the meat releases large amounts CO2 in the atmosphere.	Meat industry produces greenhouse gases and/or uses water - general
the amount of bacteria found in meat can be very harmful to the body	Outside of article's scope
of the green house gases it causes when raising the animal	Because as preposition
of the greenhouse gases it produces, and water it uses.	Because as preposition
of the greenhouse gases that it produces	Because as preposition
of the greenhouse gases the production creates.	Because as preposition
of the green house gasses the animals are releasing.	Because as preposition
of the greenhouse gas production and massive water consumption to generate meat.	Because as preposition
the green house gasses generated from livestock production makes up one fifth of the total earths emissions	Meat industry produces greenhouse gases and/or uses water - specific numbers
half of the US's water go towards the meat industry and 1/5 of greenhouse gases are from meat consumption.	Meat industry produces greenhouse gases and/or uses water - specific numbers
almost half the water in the US goes to livestock production.	Meat industry produces greenhouse gases and/or uses water - specific numbers
half our water goes to livestock	Meat industry produces greenhouse gases and/or uses water - specific numbers
half the water goes to livestock and the green houses are using up gas	Meat industry produces greenhouse gases and/or uses water - general
half the world's water goes to feeding animals.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the amount of time and energy going into raising livestock leaves behind a large carbon footprint.	Meat industry produces greenhouse gases and/or uses water - general
growing and transporting meat is the largest contributor to greenhouse gases, and	Meat industry produces greenhouse gases and/or uses water - general
growing animals and transporting their meat is responsible for almost 20% of the Earth’s greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
overpopulation has created a crisis.	Outside of article's scope
almost have the water in the us goes to livestock	Meat industry produces greenhouse gases and/or uses water - specific numbers
hurting the economy and taking away precious jobs.	Irrelevant fact from article
increased greenhouse gas emissions.	Meat industry produces greenhouse gases and/or uses water - general
of the increased amounts of greenhouse gases that result from it.	Because as preposition
of the increased demand on water resources and high outputs of greenhouse gases.	Because as preposition
of the greenhouse gas emissions and water needs involved in raising livestock.	Because as preposition
the procedures involved in obtaining this meat are responsible for one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the process involved with bringing meat to grocery stores takes up quite a large portion of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
meat consumption involves a high amount of green house gas production.	Meat industry produces greenhouse gases and/or uses water - general
many animals killed for it.	Outside of article's scope
some misinformed malcontents want to push their deceptions.	Outside of article's scope
of massive amounts of water needed for animals and greenhouse gases produced.	Because as preposition
of the greenhouse gasses needed to raise animals	Because as preposition
the care of livestock , the amount of water needed, and  meat product transportation  creates a large amount of greenhouse gases	Meat industry produces greenhouse gases and/or uses water - general
processing meat is using  resources and creating green house gasses.	Meat industry produces greenhouse gases and/or uses water - general
processing meat uses resources and creates pollution.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
the means to produce it is detrimental to the environment	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
THEY PRODUCE 1/5 THE GREENHOUSE GASES	Meat industry produces greenhouse gases and/or uses water - specific numbers
greenhouse gasses produced and environmental impact.	Meat industry produces greenhouse gases and/or uses water - specific numbers
Most of the beef produced domestically is eaten by Americans	Irrelevant fact from article
of  the greenhouse gases produced as well as the water amount going toward raising livestock.	Because as preposition
of greenhouse gases produced in raising the animals and transporting the meat.	Because as preposition
of greenhouse gases produced.	Because as preposition
of greenhouse gases that produced by raising livestock as well as transporting animals in vehicles.	Because as preposition
of the amount of greenhouse gases produced by transporting and raising meat and animals	Because as preposition
of the amount of greenhouse gases produced during the production and transportation of meat	Because as preposition
of the green house gasses produced.	Because as preposition
of the greenhouse gases produced and quantity of water consumed in the production of meat.	Because as preposition
of the greenhouse gases produced.	Because as preposition
one -fifth of the greenhouse gasses produced are a result of raising animals for slaughter.	Meat industry produces greenhouse gases and/or uses water - specific numbers
produced domestically is eaten by Americans	Irrelevant fact from article
the green house gas produced during meat processing is huge	Meat industry produces greenhouse gases and/or uses water - general
by producing meat to eat,the process of it creates almost one-fifth of the earth’s greenhouse gases.	Plagiarism
producing and transmitting meat produces a significant portion of the world's pollution, and raising the animals uses a lot of our water supply.	Meat industry produces greenhouse gases and/or uses water - general
producing and transporting meat generate almost one-fifth of the earth’s greenhouse gases and waste almost half of the water used in the U.S.	Meat industry produces greenhouse gases and/or uses water - specific numbers
producing meat generates one-fifth of the greenhouse gases and comprises fifty-percent of total U.S. water consumption.	Meat industry produces greenhouse gases and/or uses water - specific numbers
producing meat means producing greenhouse gases and using up half the water used in the US.	Meat industry produces greenhouse gases and/or uses water - general
producing them increases greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
the process of producing meat creates almost 1/5 of the earth’s pollution.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the raising, producing and transporting meat increases green house gasses.	Meat industry produces greenhouse gases and/or uses water - general
the process to raise animals for consumption creates a significant portion of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
animals raised for food are responsible for 1/5 of all greenhouse gas production.	Meat industry produces greenhouse gases and/or uses water - specific numbers
the animals raised and the exhaust created by transportation are large contributors to greenhouse gas.	Meat industry produces greenhouse gases and/or uses water - general
between raising livestock and transporting said livestock about one fifth of all greenhouse gasses are created as well as over half of the water in america is going to livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
greenhouse gas emissions and a large usage of water for raising cattle.	Meat industry produces greenhouse gases and/or uses water - general
in raising animals and transporting meat almost one-fifth of the earth’s greenhouse gases are created.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising all the animals and transporting meat creates at least one-fifth of the earth’s greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transpiring meat creates almost one fifth of the earths greenhouse gases.	Plagiarism
raising and transportation of meats is causing one-fifth of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animal creates one fifth of the worlds greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals accounts for 20% of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals and meat produces 1/5 of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals contributes to one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals creates a lot of greenhouse gas, and uses a lot of natural resources.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting animals creates about 1/5 of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals creates about 1/5 of the Earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals creates almost one-fifth of the earth's green house gases.	Plagiarism
raising and transporting animals creates greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting animals creates harmful greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting animals creates more greenhouse gasses than is produced by automobiles.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals creates over one-fifth of the earth's greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals for meat consumption are creating  1/5 of the greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting animals largely contributes to the production of greenhouse gases as well as strains other resources such as water.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting animals produces 1/5 of earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting beef produces a large amount of greenhouse gases and consumes large amounts of water.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting live-stock adds large amounts of greenhouse gasses to our planet's atmosphere.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock accounts for 20 percent of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting livestock causes 1/5 of all green house gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting livestock creates a massive amount of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock creates almost 1/5 of greenhouse gases of various transportation means, as well as consuming a vast amount of water resources.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting livestock creates almost one fifth of the earth's greenhouse gases.	Plagiarism
raising and transporting livestock creates almost one fifth of the earth's greenhouse gases.	Plagiarism
raising and transporting livestock effects greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock emits a lot of greenhouse gasses	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock for consumption creates approximately 20% of the world's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting livestock increases greenhouse gas emissions and requires massive amounts of water.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock is causing a large portion of the greenhouse gases produced.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock produces greenhouse gases, likely from the burning of fossil fuels and emissions from livestock, and consumes a lot of water.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting livestock uses precious resources.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
raising and transporting meat accounts for one fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat causes greenhouse gases and too much water is used.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting meat causes nearly a fifth of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat causes one fifth of greenhouse gas emissions.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat creates almost 1/5 of the earth's greenhouse gases.	Plagiarism
raising and transporting meat creates almost 1/5 of the earth's greenhouse gases.	Plagiarism
raising and transporting meat creates almost one-fifth of the earth's greenhouse gases and accounts for almost half of the water used in the U.S.	Plagiarism
raising and transporting meat creates almost one-fifth of the earth's greenhouse gases.	Plagiarism
raising and transporting meat creates almost one-fifth of the earth’s greenhouse gases.	Plagiarism
raising and transporting meat creates alost one-fifth of the earth's greenhouse gasses.	Plagiarism
raising and transporting meat creates greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting meat creates more greenhouse gases than driving most vehicles combined.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat creates one-fifth of the planet's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat creates one-fifth of the world's greenhouse gases	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat generates almost 1/5 of the world's greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat increases greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting meat is causing greenhouse gases on the earth.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting meat is responsible for creating around one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat make us 1/5 of the greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meat makes up almost one-fifth of the Earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting meats produces one fifth of greenhouse gases on the earth.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting the animal creates 1/5 of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting the animals creates a large amount of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising and transporting the livestock create one-fifth of  the earths green house gas emissions	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting them causes nearly one-fifth of the planet's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising and transporting them is creating a staggering amount of greenhouse gases and using  a lot of our drinking water.	Meat industry produces greenhouse gases and/or uses water - general
raising animal and transporting them is causing a great deal of greenhouse gases which impacts the earth neagatively.	Meat industry produces greenhouse gases and/or uses water - general
raising animal and transporting them to slaughter houses creates almost one-fifth of the earth's greenhouse gases.	Plagiarism
raising animals and moving meat creates one fifth of the greenhouse gasses globally	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and producing consumable meat products is harmful to the environment.	Meat industry harms environment/uses resources w/o mentioning greenhouse gases or water
raising animals and slaughtering them for meat as well as transporting that meat contribute to 1/5 of all greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and the transport of the meat produced from those animals attributes to 20 percent of greenhouse gases found in the earth.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and transportating meat creates almost one fifth of the earth's greenhouse gases.	Plagiarism
raising animals and transportation of meat uses a significant amount of the earth's greenhouses gases, while the raising of livestock also uses half of the water used in the U.S.	Meat industry produces greenhouse gases and/or uses water - general
raising animals and transporting animal meat results in about one-fifth of harmful greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and transporting animals increases greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising animals and transporting creates greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - general
raising animals and transporting mean creates a lot of greenhouse gases.	Plagiarism
raising animals and transporting mean creates almost 1/5 of the earth's greenhouse gases.	Plagiarism
raising animals and transporting mean creates almost one-fifth of the earth's greenhouse gases.	Plagiarism
raising animals and transporting meat  creates almost one fifth of the earth's green house gasses	Plagiarism
raising animals and transporting meat accounts for more than one-fifth of the Earth's greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and transporting meat causes almost one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and transporting meat causes one-fifth of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and transporting meat contribute to a large amount of greenhouse gasses.	Meat industry produces greenhouse gases and/or uses water - general
raising animals and transporting meat contributes almost 20% of the earth's greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
raising animals and transporting meat contributes to greenhouse gases in the atmosphere.	Meat industry produces greenhouse gases and/or uses water - general
raising animals and transporting meat create almost one-fifth of the earths greenhouse gases.	Plagiarism
raising animals and transporting meat create one-fifth of the earth's greenhouse gases.	Plagiarism
